text,detected_language,translated_text,sentiment,confidence,confidence_type,method
Download the MARKS app here: https://linktr.ee/mathongo,en,Download the MARKS app here: https://linktr.ee/mathongo,Neutral,0.6264014755854609,decision_function_margin,translated_via_fallback
Sir as you said I have left 2025 PYQs for Mocks,en,Sir as you said I have left 2025 PYQs for Mocks,Neutral,0.31284267304815006,decision_function_margin,translated_via_fallback
Abh late ho gaye aap batane mai maine to 2025 and 2024 ke pyqs laga liye 🙃 abh bhagwan bharose,tl,"It's too late for you to tell me, I have planned for 2025 and 2024 🙃 God bless you now",Positive,-0.08242558830383206,decision_function_margin,translated_via_fallback
"Sirji aap bohot accha kaam kr re ho , plssss don't ever stop , pyq boo free krdi or kiya chiye with every single question included , love you lage rahiye",en,"Sirji aap bohot achcha kaam kr re ho, plssss don't ever stop, pyq boo free krdi or kiya chiye with every single question included, love you lage rahiye",Positive,-0.07281326507457864,decision_function_margin,translated_via_fallback
Ji Sir Aise Hi Kar Raha Hu Par Last 5 Years Ke Vohi Bhi Marks App Se Kaafi Addictive App Hai Lagta Hai Bas Questions Karte Rahe ❤,en,"Since I have been doing this for the last 5 years, Marks App seems to be quite an addictive app, I am just asking questions ❤",Neutral,-0.16780204536042237,decision_function_margin,translated_via_fallback
Yahi kr rha hu sir 😅,id,This is what I am doing sir 😅,Positive,0.06048529951401027,decision_function_margin,translated_via_fallback
"Ji sir aise hi kar rhe hai
Execept kuch chapters ke 25 vale bhi kar liye",sw,"Ji sir, he is doing like this.
Except some chapters, 25 values were also made.",Positive,-0.2308205980145423,decision_function_margin,translated_via_fallback
Sir everything you said is damn right... I solved 2024 last year and gave mocks of that year too.. i used to get 150+ marks in that but ended up getting 113 in mains,en,Sir everything you said is damn right... I solved 2024 last year and gave mocks of that year too.. i used to get 150+ marks in that but ended up getting 113 in mains,Positive,-0.20423271357097966,decision_function_margin,translated_via_fallback
"Sir i watch one shot then do 100+ pyq(last10year) , that' built my conceptual and thinking process great",en,"Sir i watch one shot then do 100+ pyq(last10year) , that' built my conceptual and thinking process great",Positive,0.3646392001645956,decision_function_margin,translated_via_fallback
Sir mai to chapter kai andr topic wise de raha in MARKS APP of 5yrs and leaving 2025 pyq for mock is it good ??? 😢,en,Sir mai to chapter kai andr topic wise de raha in MARKS APP of 5yrs and leaving 2025 pyq for mock is it good ??? 😢,Neutral,0.18209663611141638,decision_function_margin,translated_via_fallback
